Tournament,Match,gameID,week,bTeam,rTeam,date,link,Time,bKills,rKills,toalKills,bTowers,rTowers,totalTowers,bDragons,rDragons,totalDragons,bBarons,rBarons,totalBarons,bGold,rGold,totalGold,winner
LEC Spring 2022,G2 Esports vs Rogue,1,4,G2 Esports,Rogue,2022-02-05,/game/stats/36767/page-game/,1496,4,18,22,2,9,11,0,2,2,0,1,1,0.0,0.0,0.0,Rogue
LEC Spring 2022,MAD Lions vs Team BDS,3,4,MAD Lions,Team BDS,2022-02-05,/game/stats/36766/page-game/,2720,24,19,43,11,6,17,3,4,7,2,1,3,0.0,0.0,0.0,Team BDS
LEC Spring 2022,Excel Esports vs Fnatic,5,4,Excel Esports,Fnatic,2022-02-05,/game/stats/36765/page-game/,1733,18,9,27,11,4,15,2,3,5,1,0,1,0.0,0.0,0.0,Fnatic
LEC Spring 2022,Misfits Gaming vs SK Gaming,7,4,Misfits Gaming,SK Gaming,2022-02-05,/game/stats/36764/page-game/,1805,23,11,34,11,2,13,2,1,3,2,0,2,0.0,0.0,0.0,SK Gaming
LEC Spring 2022,Astralis vs Team Vitality,9,4,Astralis,Team Vitality,2022-02-05,/game/stats/36763/page-game/,2163,25,16,41,5,7,12,4,1,5,0,1,1,0.0,0.0,0.0,Team Vitality
LEC Spring 2022,MAD Lions vs Fnatic,11,4,MAD Lions,Fnatic,2022-02-04,/game/stats/36762/page-game/,1958,8,15,23,4,9,13,1,4,5,0,1,1,0.0,0.0,0.0,Fnatic
LEC Spring 2022,G2 Esports vs Team BDS,13,4,G2 Esports,Team BDS,2022-02-04,/game/stats/36761/page-game/,1986,21,4,25,10,4,14,3,1,4,2,0,2,0.0,0.0,0.0,Team BDS
LEC Spring 2022,Rogue vs Excel Esports,15,4,Rogue,Excel Esports,2022-02-04,/game/stats/36760/page-game/,1365,14,5,19,9,3,12,1,2,3,1,0,1,0.0,0.0,0.0,Excel Esports
LEC Spring 2022,Astralis vs SK Gaming,17,4,Astralis,SK Gaming,2022-02-04,/game/stats/36759/page-game/,1851,9,17,26,3,8,11,0,4,4,0,1,1,0.0,0.0,0.0,SK Gaming
LEC Spring 2022,Team Vitality vs Misfits Gaming,19,4,Team Vitality,Misfits Gaming,2022-02-04,/game/stats/36758/page-game/,1713,18,9,27,9,4,13,1,3,4,1,0,1,0.0,0.0,0.0,Misfits Gaming
LEC Spring 2022,Fnatic vs G2 Esports,21,3,Fnatic,G2 Esports,2022-01-29,/game/stats/36412/page-game/,2260,4,13,17,4,9,13,3,2,5,1,1,2,0.0,0.0,0.0,G2 Esports
LEC Spring 2022,Rogue vs Team Vitality,23,3,Rogue,Team Vitality,2022-01-29,/game/stats/36411/page-game/,2164,12,8,20,11,7,18,2,3,5,2,0,2,0.0,0.0,0.0,Team Vitality
LEC Spring 2022,MAD Lions vs Misfits Gaming,25,3,MAD Lions,Misfits Gaming,2022-01-29,/game/stats/36410/page-game/,1690,5,21,26,2,9,11,0,4,4,0,1,1,0.0,0.0,0.0,Misfits Gaming
LEC Spring 2022,Astralis vs Excel Esports,27,3,Astralis,Excel Esports,2022-01-29,/game/stats/36409/page-game/,2137,5,11,16,3,11,14,2,3,5,1,1,2,0.0,0.0,0.0,Excel Esports
LEC Spring 2022,Team BDS vs SK Gaming,29,3,Team BDS,SK Gaming,2022-01-29,/game/stats/36408/page-game/,1752,8,2,10,11,2,13,4,0,4,1,0,1,0.0,0.0,0.0,SK Gaming
LEC Spring 2022,G2 Esports vs Misfits Gaming,31,3,G2 Esports,Misfits Gaming,2022-01-28,/game/stats/36407/page-game/,2132,27,16,43,10,10,20,4,1,5,1,1,2,0.0,0.0,0.0,Misfits Gaming
LEC Spring 2022,Rogue vs Fnatic,33,3,Rogue,Fnatic,2022-01-28,/game/stats/36406/page-game/,1750,20,4,24,9,3,12,3,2,5,1,0,1,0.0,0.0,0.0,Fnatic
LEC Spring 2022,Team Vitality vs SK Gaming,35,3,Team Vitality,SK Gaming,2022-01-28,/game/stats/36405/page-game/,1655,17,10,27,11,1,12,2,2,4,1,0,1,0.0,0.0,0.0,SK Gaming
LEC Spring 2022,Excel Esports vs MAD Lions,37,3,Excel Esports,MAD Lions,2022-01-28,/game/stats/36404/page-game/,2380,8,16,24,3,8,11,1,4,5,1,1,2,0.0,0.0,0.0,MAD Lions
LEC Spring 2022,Team BDS vs Astralis,39,3,Team BDS,Astralis,2022-01-28,/game/stats/36403/page-game/,1888,17,7,24,8,1,9,4,0,4,1,0,1,0.0,0.0,0.0,Astralis
LEC Spring 2022,G2 Esports vs Team Vitality,41,2,G2 Esports,Team Vitality,2022-01-22,/game/stats/36226/page-game/,1793,6,15,21,2,9,11,0,4,4,0,1,1,0.0,0.0,0.0,Team Vitality
LEC Spring 2022,Fnatic vs Misfits Gaming,43,2,Fnatic,Misfits Gaming,2022-01-22,/game/stats/36225/page-game/,1420,17,8,25,7,2,9,3,0,3,1,0,1,0.0,0.0,0.0,Misfits Gaming
LEC Spring 2022,Team BDS vs Rogue,45,2,Team BDS,Rogue,2022-01-22,/game/stats/36224/page-game/,1700,6,20,26,2,9,11,0,4,4,0,1,1,0.0,0.0,0.0,Rogue
LEC Spring 2022,MAD Lions vs Astralis,47,2,MAD Lions,Astralis,2022-01-22,/game/stats/36223/page-game/,1926,18,14,32,8,5,13,3,1,4,0,1,1,0.0,0.0,0.0,Astralis
LEC Spring 2022,SK Gaming vs Excel Esports,49,2,SK Gaming,Excel Esports,2022-01-22,/game/stats/36222/page-game/,2248,11,18,29,5,9,14,3,3,6,0,2,2,0.0,0.0,0.0,Excel Esports
LEC Spring 2022,MAD Lions vs Rogue,51,2,MAD Lions,Rogue,2022-01-21,/game/stats/36221/page-game/,1989,10,26,36,1,10,11,0,4,4,0,2,2,0.0,0.0,0.0,Rogue
LEC Spring 2022,Team BDS vs Team Vitality,53,2,Team BDS,Team Vitality,2022-01-21,/game/stats/36220/page-game/,1665,8,18,26,0,10,10,0,4,4,0,1,1,0.0,0.0,0.0,Team Vitality
LEC Spring 2022,G2 Esports vs SK Gaming,55,2,G2 Esports,SK Gaming,2022-01-21,/game/stats/36219/page-game/,1930,15,5,20,9,2,11,4,1,5,1,0,1,0.0,0.0,0.0,SK Gaming
LEC Spring 2022,Astralis vs Fnatic,57,2,Astralis,Fnatic,2022-01-21,/game/stats/36218/page-game/,2499,6,17,23,4,9,13,2,4,6,0,2,2,0.0,0.0,0.0,Fnatic
